date,factor,n_covered,universe_size,coverage_pct
2016-10-21,52w_high_proximity,460,464,0.991379
2016-10-28,52w_high_proximity,460,464,0.991379
2016-11-04,52w_high_proximity,460,465,0.989247
2016-11-11,52w_high_proximity,460,465,0.989247
2016-11-18,52w_high_proximity,460,465,0.989247
2016-11-25,52w_high_proximity,460,465,0.989247
2016-12-02,52w_high_proximity,460,465,0.989247
2016-12-09,52w_high_proximity,460,465,0.989247
2016-12-16,52w_high_proximity,460,465,0.989247
2016-12-23,52w_high_proximity,460,465,0.989247
2016-12-30,52w_high_proximity,460,465,0.989247
2017-01-06,52w_high_proximity,460,465,0.989247
2017-01-13,52w_high_proximity,460,465,0.989247
2017-01-20,52w_high_proximity,460,465,0.989247
2017-01-27,52w_high_proximity,460,465,0.989247
2017-02-03,52w_high_proximity,460,466,0.987124
2017-02-10,52w_high_proximity,460,466,0.987124
2017-02-17,52w_high_proximity,460,466,0.987124
2017-02-24,52w_high_proximity,460,466,0.987124
2017-03-03,52w_high_proximity,460,466,0.987124
2017-03-10,52w_high_proximity,460,466,0.987124
2017-03-17,52w_high_proximity,460,466,0.987124
2017-03-24,52w_high_proximity,460,466,0.987124
2017-03-31,52w_high_proximity,460,466,0.987124
2017-04-07,52w_high_proximity,460,466,0.987124
2017-04-14,52w_high_proximity,460,466,0.987124
2017-04-21,52w_high_proximity,461,466,0.98927
2017-04-28,52w_high_proximity,461,467,0.987152
2017-05-05,52w_high_proximity,461,467,0.987152
2017-05-12,52w_high_proximity,461,468,0.985043
2017-05-19,52w_high_proximity,461,468,0.985043
2017-05-26,52w_high_proximity,461,468,0.985043
2017-06-02,52w_high_proximity,462,468,0.987179
2017-06-09,52w_high_proximity,462,468,0.987179
2017-06-16,52w_high_proximity,462,468,0.987179
2017-06-23,52w_high_proximity,462,468,0.987179
2017-06-30,52w_high_proximity,462,468,0.987179
2017-07-07,52w_high_proximity,463,468,0.989316
2017-07-14,52w_high_proximity,463,468,0.989316
2017-07-21,52w_high_proximity,464,468,0.991453
2017-07-28,52w_high_proximity,464,468,0.991453
2017-08-04,52w_high_proximity,464,468,0.991453
2017-08-11,52w_high_proximity,464,468,0.991453
2017-08-18,52w_high_proximity,465,468,0.99359
2017-08-25,52w_high_proximity,465,468,0.99359
2017-09-01,52w_high_proximity,465,468,0.99359
2017-09-08,52w_high_proximity,465,468,0.99359
2017-09-15,52w_high_proximity,465,468,0.99359
2017-09-22,52w_high_proximity,465,468,0.99359
2017-09-29,52w_high_proximity,465,468,0.99359
2017-10-06,52w_high_proximity,465,468,0.99359
2017-10-13,52w_high_proximity,465,468,0.99359
2017-10-20,52w_high_proximity,465,468,0.99359
2017-10-27,52w_high_proximity,465,468,0.99359
2017-11-03,52w_high_proximity,465,468,0.99359
2017-11-10,52w_high_proximity,465,468,0.99359
2017-11-17,52w_high_proximity,466,468,0.995726
2017-11-24,52w_high_proximity,466,468,0.995726
2017-12-01,52w_high_proximity,466,468,0.995726
2017-12-08,52w_high_proximity,466,468,0.995726
2017-12-15,52w_high_proximity,466,468,0.995726
2017-12-22,52w_high_proximity,466,468,0.995726
2017-12-29,52w_high_proximity,466,468,0.995726
2018-01-05,52w_high_proximity,466,469,0.993603
2018-01-12,52w_high_proximity,466,469,0.993603
2018-01-19,52w_high_proximity,466,469,0.993603
2018-01-26,52w_high_proximity,466,469,0.993603
2018-02-02,52w_high_proximity,466,469,0.993603
2018-02-09,52w_high_proximity,466,469,0.993603
2018-02-16,52w_high_proximity,467,469,0.995736
2018-02-23,52w_high_proximity,467,469,0.995736
2018-03-02,52w_high_proximity,468,469,0.997868
2018-03-09,52w_high_proximity,468,469,0.997868
2018-03-16,52w_high_proximity,468,469,0.997868
2018-03-23,52w_high_proximity,468,469,0.997868
2018-03-30,52w_high_proximity,468,469,0.997868
2018-04-06,52w_high_proximity,468,469,0.997868
2018-04-13,52w_high_proximity,468,469,0.997868
2018-04-20,52w_high_proximity,468,469,0.997868
2018-04-27,52w_high_proximity,468,469,0.997868
2018-05-04,52w_high_proximity,468,469,0.997868
2018-05-11,52w_high_proximity,468,469,0.997868
2018-05-18,52w_high_proximity,468,469,0.997868
2018-05-25,52w_high_proximity,468,469,0.997868
2018-06-01,52w_high_proximity,468,469,0.997868
2018-06-08,52w_high_proximity,468,469,0.997868
2018-06-15,52w_high_proximity,468,469,0.997868
2018-06-22,52w_high_proximity,468,469,0.997868
2018-06-29,52w_high_proximity,468,469,0.997868
2018-07-06,52w_high_proximity,468,469,0.997868
2018-07-13,52w_high_proximity,468,469,0.997868
2018-07-20,52w_high_proximity,468,469,0.997868
2018-07-27,52w_high_proximity,468,469,0.997868
2018-08-03,52w_high_proximity,468,470,0.995745
2018-08-10,52w_high_proximity,468,470,0.995745
2018-08-17,52w_high_proximity,468,470,0.995745
2018-08-24,52w_high_proximity,468,470,0.995745
2018-08-31,52w_high_proximity,468,470,0.995745
2018-09-07,52w_high_proximity,468,470,0.995745
2018-09-14,52w_high_proximity,468,470,0.995745
2018-09-21,52w_high_proximity,468,470,0.995745
2018-09-28,52w_high_proximity,468,470,0.995745
2018-10-05,52w_high_proximity,468,470,0.995745
2018-10-12,52w_high_proximity,468,470,0.995745
2018-10-19,52w_high_proximity,469,470,0.997872
2018-10-26,52w_high_proximity,469,470,0.997872
2018-11-02,52w_high_proximity,469,470,0.997872
2018-11-09,52w_high_proximity,469,470,0.997872
2018-11-16,52w_high_proximity,469,470,0.997872
2018-11-23,52w_high_proximity,469,470,0.997872
2018-11-30,52w_high_proximity,469,470,0.997872
2018-12-07,52w_high_proximity,469,471,0.995754
2018-12-14,52w_high_proximity,469,471,0.995754
2018-12-21,52w_high_proximity,469,471,0.995754
2018-12-28,52w_high_proximity,469,471,0.995754
2019-01-04,52w_high_proximity,469,471,0.995754
2019-01-11,52w_high_proximity,469,471,0.995754
2019-01-18,52w_high_proximity,469,471,0.995754
2019-01-25,52w_high_proximity,469,471,0.995754
2019-02-01,52w_high_proximity,469,471,0.995754
2019-02-08,52w_high_proximity,469,471,0.995754
2019-02-15,52w_high_proximity,469,471,0.995754
2019-02-22,52w_high_proximity,469,471,0.995754
2019-03-01,52w_high_proximity,469,471,0.995754
2019-03-08,52w_high_proximity,469,471,0.995754
2019-03-15,52w_high_proximity,469,473,0.991543
2019-03-22,52w_high_proximity,469,474,0.989451
2019-03-29,52w_high_proximity,469,474,0.989451
2019-04-05,52w_high_proximity,469,474,0.989451
2019-04-12,52w_high_proximity,469,474,0.989451
2019-04-19,52w_high_proximity,469,474,0.989451
2019-04-26,52w_high_proximity,469,474,0.989451
2019-05-03,52w_high_proximity,469,474,0.989451
2019-05-10,52w_high_proximity,469,475,0.987368
2019-05-17,52w_high_proximity,469,475,0.987368
2019-05-24,52w_high_proximity,470,476,0.987395
2019-05-31,52w_high_proximity,470,476,0.987395
2019-06-07,52w_high_proximity,470,476,0.987395
2019-06-14,52w_high_proximity,470,477,0.985325
2019-06-21,52w_high_proximity,470,477,0.985325
2019-06-28,52w_high_proximity,470,477,0.985325
2019-07-05,52w_high_proximity,470,477,0.985325
2019-07-12,52w_high_proximity,470,477,0.985325
2019-07-19,52w_high_proximity,470,477,0.985325
2019-07-26,52w_high_proximity,470,477,0.985325
2019-08-02,52w_high_proximity,470,477,0.985325
2019-08-09,52w_high_proximity,470,477,0.985325
2019-08-16,52w_high_proximity,470,477,0.985325
2019-08-23,52w_high_proximity,470,477,0.985325
2019-08-30,52w_high_proximity,470,477,0.985325
2019-09-06,52w_high_proximity,470,477,0.985325
2019-09-13,52w_high_proximity,470,477,0.985325
2019-09-20,52w_high_proximity,470,478,0.983264
2019-09-27,52w_high_proximity,471,478,0.985356
2019-10-04,52w_high_proximity,471,478,0.985356
2019-10-11,52w_high_proximity,471,478,0.985356
2019-10-18,52w_high_proximity,471,478,0.985356
2019-10-25,52w_high_proximity,471,478,0.985356
2019-11-01,52w_high_proximity,471,478,0.985356
2019-11-08,52w_high_proximity,471,478,0.985356
2019-11-15,52w_high_proximity,471,478,0.985356
2019-11-22,52w_high_proximity,471,478,0.985356
2019-11-29,52w_high_proximity,471,478,0.985356
2019-12-06,52w_high_proximity,471,478,0.985356
2019-12-13,52w_high_proximity,471,478,0.985356
2019-12-20,52w_high_proximity,471,478,0.985356
2019-12-27,52w_high_proximity,473,478,0.98954
2020-01-03,52w_high_proximity,474,478,0.991632
2020-01-10,52w_high_proximity,474,478,0.991632
2020-01-17,52w_high_proximity,474,478,0.991632
2020-01-24,52w_high_proximity,474,478,0.991632
2020-01-31,52w_high_proximity,474,478,0.991632
2020-02-07,52w_high_proximity,474,478,0.991632
2020-02-14,52w_high_proximity,474,478,0.991632
2020-02-21,52w_high_proximity,474,478,0.991632
2020-02-28,52w_high_proximity,475,478,0.993724
2020-03-06,52w_high_proximity,475,478,0.993724
2020-03-13,52w_high_proximity,476,478,0.995816
2020-03-20,52w_high_proximity,476,480,0.991667
2020-03-27,52w_high_proximity,477,480,0.99375
2020-04-03,52w_high_proximity,477,480,0.99375
2020-04-10,52w_high_proximity,477,480,0.99375
2020-04-17,52w_high_proximity,477,480,0.99375
2020-04-24,52w_high_proximity,477,480,0.99375
2020-05-01,52w_high_proximity,477,480,0.99375
2020-05-08,52w_high_proximity,477,480,0.99375
2020-05-15,52w_high_proximity,477,480,0.99375
2020-05-22,52w_high_proximity,477,480,0.99375
2020-05-29,52w_high_proximity,477,480,0.99375
2020-06-05,52w_high_proximity,477,480,0.99375
2020-06-12,52w_high_proximity,477,480,0.99375
2020-06-19,52w_high_proximity,477,480,0.99375
2020-06-26,52w_high_proximity,477,480,0.99375
2020-07-03,52w_high_proximity,477,480,0.99375
2020-07-10,52w_high_proximity,478,480,0.995833
2020-07-17,52w_high_proximity,478,480,0.995833
2020-07-24,52w_high_proximity,478,480,0.995833
2020-07-31,52w_high_proximity,478,480,0.995833
2020-08-07,52w_high_proximity,478,480,0.995833
2020-08-14,52w_high_proximity,478,480,0.995833
2020-08-21,52w_high_proximity,478,480,0.995833
2020-08-28,52w_high_proximity,478,480,0.995833
2020-09-04,52w_high_proximity,478,480,0.995833
2020-09-11,52w_high_proximity,478,480,0.995833
2020-09-18,52w_high_proximity,478,480,0.995833
2020-09-25,52w_high_proximity,478,480,0.995833
2020-10-02,52w_high_proximity,478,481,0.993763
2020-10-09,52w_high_proximity,478,481,0.993763
2020-10-16,52w_high_proximity,478,481,0.993763
2020-10-23,52w_high_proximity,478,481,0.993763
2020-10-30,52w_high_proximity,478,481,0.993763
2020-11-06,52w_high_proximity,478,481,0.993763
2020-11-13,52w_high_proximity,478,481,0.993763
2020-11-20,52w_high_proximity,478,481,0.993763
2020-11-27,52w_high_proximity,478,481,0.993763
2020-12-04,52w_high_proximity,478,481,0.993763
2020-12-11,52w_high_proximity,478,483,0.989648
2020-12-18,52w_high_proximity,478,483,0.989648
2020-12-25,52w_high_proximity,478,483,0.989648
2021-01-01,52w_high_proximity,480,483,0.993789
2021-01-08,52w_high_proximity,480,483,0.993789
2021-01-15,52w_high_proximity,480,483,0.993789
2021-01-22,52w_high_proximity,480,483,0.993789
2021-01-29,52w_high_proximity,480,483,0.993789
2021-02-05,52w_high_proximity,480,483,0.993789
2021-02-12,52w_high_proximity,480,484,0.991736
2021-02-19,52w_high_proximity,480,484,0.991736
